product_name,price_int,price_dec,a-size-small href 2,seller
"Women's Freesail Mule,",19,65,,
"Women's Freesailclogw,",29,99,,
Women's Freesail Mule,45,58,,
Unisex On The Clock Work Slip On,30,22,,
Women's Arizona Vegan Sandals,60,00,,Birkenstock
Specialist Vent Clog,20,41,,
Classic Tie Dye Graphic Clog,29,09,,
Unisex Bistro Graphic Work Clogs,26,26,,
BOBS from Skechers Women's Keepsakes Ice Angel Slipper,22,26,,
Women's Xp 2.0 Clog,119,99,,
for Work Women's Slip Resistant Clog,44,95,,
Women's Midi,43,99,,Vionic
"Women's Encore Q2 Breeze Clog,",61,29,,
Unisex Garden Clogs Shoes Slippers Sandals,14,80,,Amoji
Women's Neria Pro Graphic Work Clog,26,69,,
"Women's Premium Garden Clog, Kiwi Green, Size 8, Style 260KW08",22,65,,
Boston Suede Clogs,130,00,,Birkenstock
Women's Martina Mule,59,99,,
Women's Citilane Roka Court Sneaker,21,32,,
Boston Soft Footbed Leather Clogs,130,00,,Birkenstock
Unisex Women's Men's Garden Clog Shoes Quick Drying Slippers Sandals,15,88,,welltree
Women's Sam Ankle-Strap Clog,101,51,,
Women's Capri Shimmer Cross-Band Sandal,32,28,,
Arizona Unisex Leather Sandal,105,00,,Birkenstock
Women's Delana Amber Mule,44,00,,
Women's debra Slip-On,49,00,,
Women's Professional Cabrio Clog,49,95,,
Autoclavable Clog without Upper Ventilation,98,99,,Calzuro
Women's Eliana Mule,19,99,,
"Women's Eliana Clog,Dark Taupe/Brown Suede,US 9 WW",39,99,,
"Women's Eliana Clog,Dark Taupe/Brown Suede,US 8 WW",39,99,,
Women's Professional Patent Clog,49,95,,
MIA Women's Abba Clog-Inspired Sandal,58,75,,MIA Amore
Clarks Womens Patty Tayna Mule M,14,79,,CLARK'S
Unisex Bistro Pro Clog,35,90,,
Unisex Specialist Clog,12,89,,
Women's Renova Slip-On,91,84,,Timberland PRO
Women's Pro Xp Clog,94,95,,
Classic Mule,29,00,,
Men's Classic Comfort Clog Black 10 M US,54,99,https://www.amazon.com/gp/offer-listing/B00XNW8M3O/ref=sr_1_89_olp?s=apparel&ie=UTF8&qid=1536135987&sr=1-89&nodeID=679410011&psd=1&condition=new,
Women's Classic Comfort Clog Navy 10 M US,39,99,https://www.amazon.com/gp/offer-listing/B00SYGI1EY/ref=sr_1_90_olp?s=apparel&ie=UTF8&qid=1536135987&sr=1-90&nodeID=679410011&psd=1&condition=new,
Unisex Classic Clog,106,00,,
Cayman Clog - Women's,36,95,https://www.amazon.com/gp/offer-listing/B000P8DZGS/ref=sr_1_92_olp?s=apparel&ie=UTF8&qid=1536135987&sr=1-92&nodeID=679410011&psd=1&condition=new,
Adult Classic Clogs Navy-410 Blue 6,37,99,https://www.amazon.com/gp/offer-listing/B07FFMTVCV/ref=sr_1_93_olp?s=apparel&ie=UTF8&qid=1536135987&sr=1-93&nodeID=679410011&psd=1&condition=new,
Klogs Footwear Women's Naples Leather Closed-Back Nursing Clog,29,99,,Klogs USA
Women's Marcelle Clog,116,83,,
"Women's Professional Leather, Black Patent, 36 EU/5.5-6 B(M) US",83,62,,
Women's Pro XP Clog,97,97,,
Women's Professional Tooled Clog,119,46,,
Slip Resistant Women's Gretchen Clog,39,99,,safeTstep
Women's Maureen Mary Jane Clog,84,95,,
Arizona Kids Sandal,101,50,,Birkenstock
Women's Encore Breeze 3 Slip-On Shoe,35,98,,
Women's Wide Professional Clog,119,95,,
Women's Meredith Clog,19,99,,SoftWalk
