seller,product_name,price_int,price_dec
,Women's Gel-Kahana 8 Trail Runner,56,00
MEET,Women Men Unisex Lightweight Water Shoes Quick-Dry Barefoot Flexible Beach Swim Shoes,9,99
NING MENG,Aqua Socks Beach Water Shoes Barefoot Yoga Socks Quick-Dry Surf Swim Shoes for Women Men,7,99
,WOMEN'S WATERPROOF JENNIFER RAIN BOOTS,15,94
,Women's Original Short Rain Boot,79,95
,Women's Tinsley Rain Boot,32,99
,Women's Bali Strap Sandal,34,98
,Sperry Women's Saltwater Boot,73,94
,Women's Terran Post II Sandal,46,99
DREAM PAIRS,Women's 160912-W Adventurous Summer Outdoor Sandals,19,99
,Women's Whisper-w Sandal,54,95
,Women's WT10v1 Minimus Trail Running Shoe,94,95
,"Women's Waterproof Rain and Garden Boot with Comfort Insole, Midsummer Blue, Size 9, Style 5002BL09",30,34
WateLves,Womens Mens Water Shoes Barefoot Quick-Dry Aqua Socks Beach Swim Surf Yoga Exercise,8,99
,Women's Classic Short II Boot,75,26
Quicksilk,Women Quick Drying Mesh Slip On Water Shoes,12,99
JOOMRA,Men Women Wide Quick Dry Barefoot Hiking Water Shoes,29,89
,Women's Olivia Rain Boot,25,70
,Women's Hydro Sport Water Shoe Cross-Training Shoe,34,30
,Women's W Hurricane Xlt2 Sport Sandal,48,97
,Women's All Out Blaze Aero Sport Hiking Water Shoe,74,95
,Women's Bali Sandals,45,79
,Men's Moab FST Hiking Shoe,49,99
,Chandler CNX Shoe,27,00
,Women's 510v4 Cushioning Trail Running Shoe,31,34
,Women's WT410v5 Cushioning Trail Running Shoe,42,49
,Muck Boots Wetland Rubber Premium Men's Field Boot,99,99
FEETCITY,Mens Water Shoes Swim Shoes Women Quick-Dry Barefoot Beach Surf Boat Yoga Sneakers,7,99
,"Women's Tempo Short,",13,97
,Women's on-The-Go 600-Monarch Slide Sandal,21,24
Xtratuf,"Legacy Series 15"" Floral Print-Lined Neoprene Women’s Fishing Boots, Copper & Tan (22812G)",85,10
,"Women's Siren Hex Q2 E-Mesh Hiking Boot,",59,99
,Women's Zcloud X2 Sport Sandal,69,88
,Muck Boots Chore Classic Men's Rubber Work Boot,82,98
,Women's Terran Slide II Sandal,49,95
,Women's Zcloud Sport Sandal,65,68
NORTY,Women's Hurricane Wellie - 14 Solids and Prints - Glossy & Matte Waterproof Mid-Calf Rainboots,17,90
Oakiwear,Kids Waterproof Rubber Rain Boots with Easy-On Handles,16,00
,Women's XR Mission Running Shoe,79,95
,Women's Z1 Classic Athletic Sandal,57,99
OOFOS,Unisex OOahh Sport Slide Sandal,47,96
,Women's Surfwalker 3.0 Water Shoe,15,95
,The Original MuckBoots Scrub Boot,59,95
,Women's Hollyleaf Sandal,58,00
,"Women's Waterproof Rain and Garden Shoe with Comfort Insole, Chickens Barn Red, Size 9, Style 5116CBR09",32,41
,Women's Nitrel v1 FuelCore Trail Running Shoe,19,29
WHITIN,Unisex Barefoot Shoes for Water Activities and Walking Jogging,29,99
,Unisex Classic Slide Sandal,12,28
,Women's Go-Go Boot,9,55
,Kulapa Kai Slipper - Women's,41,95
,Women's Original Short Gloss Rain Boots,59,99
,Women's Grace Flat Sandal,44,38
,Women's Glove 4 Trail Runner,82,59
,Women's ZX3 Classic Sport Sandal,68,22
,Women's Kawa Slide Sandal,18,98
,Womens Original Back Adjustable Rain Boots,112,44
,Women's Nellie Double Waterproof Ankle Boot,37,49
,Women's Oakridge Mid Waterproof Boot,92,99
,Women's X Ultra 3 Mid GTX W Hiking Boot,143,37
Voovix,Water Shoes Men Women Quick Dry Barefoot Aqua Shoes Swim Surf Beach Pool,9,99
,Womens Piccadilly Rain Boot,39,98
,Women's White Ledge Hiking Boot,74,99
,Women's Yoga Sling 2 Flip Flop,33,86
Earth Origins,Women's Sophie Sandals,24,95
,Women's Oakridge Waterproof Shoe,82,88
,Hale Multi-Season Women's Rubber Boot,63,10
,"Women's Waterproof Rain and Garden Ankle Boots with Comfort Insole, Midsummer Black, Size 9, Style 2841BK09",37,50
,Men and Women Aqua Shoes Quick Drying Water Sports Shoes for Beach Pool Boating Swim Surf,6,99
,Women's W Hurricane 4 Sport Sandal,47,61
,Women's Sienna Rain Shoe,64,95
,Women's Jaunt Shorty Boot,25,00
,Women's Terradora Waterproof Hiking Shoe,40,94
,Women's Capri Shimmer Cross-Band Sandal,32,28
,Women's Skamania Mid-Rise Waterproof Hiking Boot,39,78
NORTY,Women's Hurricane Wellie - 14 Solids and Prints - Glossy & Matte Waterproof Hi-Calf Rainboots,17,90
