product_name,price_int,price_dec,seller,a-size-small href 2
"Women's SAS, Liberty Lace up Shoes BLACK",124,99,SAS,
Women's Lace up Wingtip Oxford Shoes Classic Fashion Patent Leather Chunky Heel Bootie,18,99,Mostrin,
Women's Cheyn Ava Oxford,37,16,,
Women's Ayva Oxford,23,99,,
Women's Casual Peep Toe Ankle Strap Sandals - Cute Summer Espadrilles High Platforms - Comfort Wedges Saldals,19,99,MVE Shoes,
Women's Jazzin Ryker Cotton Fashion Sneaker,24,99,,
Women's Chinese Embroidery Casual Mary Jane Travel Walking Shoes,18,99,AvaCostume,
Men's Mexico 66 Fashion Sneaker,49,99,,
Women's Round Toe Patent Leather Slip On Shoes Sweet Bow Mid Heel Oxfords Loafers Shoes,9,99,Susanny,
Women's Tilmont Ivy Oxford,49,74,,
Women's Abilene Boot,52,00,Cobb Hill,
Women's Fashion Tassels Square-Toe Lace-up Platform Wedge Oxford Shoes,32,99,DADAWEN,
Women's 105-SD Oxford,20,69,,
Women Classic Modern Sweet Low Heel Lace up Carving Wingtip PU Brogue Oxfords Dress Shoes,15,99,Susanny,
"Women's 1461 RS Mallow Pink Oxford,",86,36,,
Womens Elevated Becca Wedge Lace Black Size 9 Wide,368,00,Vionic,
Men's Savoy Slip Resistant Oxford,34,99,,
Women's Camdale Oxford,33,27,,
Women's Zerogrand Hikr Boot,62,00,,
Women's Erica Oxford,68,44,,
Womens Willie Fashion Sneakers,17,90,,
Women's Total Motion Abelle Slipon Oxford,45,99,,
Women's Platform Wedges Oxfords Classic Casual Lace up Mid Heels Wingtips Square Toe Shoes,32,99,Tengyu,
"Women's 1461 RS Silver Oxford,",73,50,,
Women's 3989 Brogue Wingtip Shoe,79,99,,
Women's Anna Oxford,89,99,,
Women's Grand Tour Oxford,67,50,,
Firefish Boat Shoe,44,99,,
Women's Koifish Sparkle Crosshatch Boat Shoe,89,93,,
Shoes Women's Babe Oxford Shoe,14,99,Wanted,
Women's 1461 Virginia Oxford,51,88,,
"Women's Tangerine- Wide Oxford Flat,",80,03,,
Women's Frankie Oxford Flat,23,19,Shellys London,
Women's Cork Sole Platform Wedge Lace up Oxford Shoe,20,95,,
Women's Sharon Noel Oxford,95,00,,
Braga,24,95,Earthies,
Women's Classical Leather Wing-up Brogues Flat Lace-up Oxford Shoes,44,99,LaRosa,
Women's Loretta Oxford,47,99,,
Women Leatherette Lace Up Oxford Chunky Heel Bootie BH50 - Black,17,95,Refresh,
Women's Tinsley Lace up Platform Brogue Trim Oxford Flats Sneakers Loafers by,39,99,LUSTHAVE,
Women's Burst - Seeing Stars Casual Shoe,19,98,,
Women's Coil Ivy Perf Boat Shoe,40,99,,
"Women's GrandEvOlution SHORTIWING Oxford Flat,",84,65,,
Women's GrandEvOlution Wingtip Oxford 6 Black Leather,160,70,,
1461 Shoe,98,25,,
"Women's Dora School Uniform Shoe,",49,99,,
Women's Classic T-Strap Platform Mid-Heel Square Toe Oxfords Dress Shoes,32,90,Ezkrwxn,
Women's Lita Oxford Shoe,155,00,,
Womens Fleet,69,99,Nurse Mates,
Womens Perforated Lace-up Wingtip Leather Pump Oxfords Vintage Oxford Shoes Brogues,49,99,U-lite,
Women's Smith Stud Oxford,40,47,,
Womens Peggy Low Lace,44,99,,
Men's Solstice Boat Shoe,65,39,,
Optimal Women Work Leather Pump Shoes Non Slip,20,99,Optimal Product,
Rockport Women's Nadia Mary Jane Flat,26,99,Cobb Hill,
Women's Classic Tassel Slip-On Platform Mid-Heel Square Toe Oxfords Dress Shoes,29,99,DADAWEN,
Womens Edenvale Opal,54,00,,
Women's Jouston Oxford,48,99,,
Women's Classic Oxford Flats Shoes,19,99,VenusCelia,
Women Lace Up Suede Platform Sneakers Low Top Wide Toe Mid Heel Wedge Oxfords Shoes,29,98,HKR,
Women's Casual Leather Shoes Oxford Brogue Lace-up,35,99,Jivana,
Men's 3989 Brogue Wingtip Shoe,59,99,,
"Adult Lace Up Jazz Shoes,T7302",17,81,Theatricals,
Womens Edie Sneaker,64,97,Vionic,
Women's 8065 Wanderlust Oxford,75,00,,
Women's Leather Perforated Lace-up Oxfords Shoes for Women Wingtip Multicolor Brougue Shoes,89,00,Mona Flying,
Womens Dani,68,90,,
Women's Lena Suede Sneaker,31,99,TOMS,
Women's Hadley Wise Hadley Oxford,44,97,Vionic,
Women's Jazzin Roads Cotton Fashion Sneaker,24,95,,
Women's Titan Oxford,104,95,Timberland PRO,
Women's LF9010 Leather Shoe,127,00,Lit Foot,https://www.amazon.com/gp/offer-listing/B00SI94PD8/ref=sr_1_179_olp?s=apparel&ie=UTF8&qid=1536137827&sr=1-179&nodeID=679415011&psd=1&condition=new
Womens Ankle Buckle Strap Slip On Cut Out Low Heel Closed Toe Summer Flats Shoes,14,99,Bbalizko,
Women's Durpee Oxford,105,44,,
Womens Liz Fashion Woven Flats Shoes,23,09,Corkys,
Classic Retro PU Oxfords Brogue Shoes Women's Mid-Heel Wingtip Lace Up Dress Shoes,9,99,Susanny,
Women's Handmade Suede Lace Up Flat Platform Creepers Shoe,39,99,RoseG,
